event_id,user_id,product_id,event_type,timestamp,device,session_id
E00000001,U00001,P0164,view,2024-03-04 16:33:11,Desktop,SU00001_20240304163214
E00000002,U00001,P0164,add_to_cart,2024-03-04 16:34:34,Mobile,SU00001_20240304163214
E00000003,U00001,P0164,checkout,2024-03-04 16:33:25,Mobile,SU00001_20240304163214
E00000004,U00001,P0164,purchase,2024-03-04 16:36:53,Mobile,SU00001_20240304163214
E00000005,U00001,P0023,view,2024-10-29 21:14:36,Mobile,SU00001_20241029211100
E00000006,U00001,P0023,add_to_cart,2024-10-29 21:11:47,Mobile,SU00001_20241029211100
E00000007,U00001,P0023,checkout,2024-10-29 21:15:18,Desktop,SU00001_20241029211100
E00000008,U00001,P0023,purchase,2024-10-29 21:15:47,Desktop,SU00001_20241029211100
E00000009,U00001,P0051,view,2024-12-09 04:12:45,Desktop,SU00001_20241209040806
E00000010,U00001,P0115,view,2024-04-02 09:28:41,Desktop,SU00001_20240402092619
E00000011,U00002,P0002,view,2024-09-12 01:21:29,Desktop,SU00002_20240912012008
E00000012,U00002,P0088,view,2024-07-06 03:24:54,Mobile,SU00002_20240706032232
E00000013,U00002,P0088,add_to_cart,2024-07-06 03:25:24,Mobile,SU00002_20240706032232
E00000014,U00002,P0088,checkout,2024-07-06 03:25:46,Mobile,SU00002_20240706032232
E00000015,U00002,P0088,purchase,2024-07-06 03:25:28,Mobile,SU00002_20240706032232
E00000016,U00002,P0155,view,2024-02-21 20:16:16,Mobile,SU00002_20240221201401
E00000017,U00002,P0187,view,2024-06-24 13:02:57,Mobile,SU00002_20240624125902
E00000018,U00002,P0097,view,2024-10-14 17:13:16,Mobile,SU00002_20241014171236
E00000019,U00003,P0161,view,2024-07-20 15:34:04,Mobile,SU00003_20240720153059
E00000020,U00003,P0181,view,2024-08-21 21:33:18,Mobile,SU00003_20240821213243
E00000021,U00003,P0181,add_to_cart,2024-08-21 21:34:39,Mobile,SU00003_20240821213243
E00000022,U00003,P0021,view,2024-11-07 14:48:56,Tablet,SU00003_20241107144657
E00000023,U00003,P0098,view,2024-10-29 11:59:49,Tablet,SU00003_20241029115727
E00000024,U00003,P0094,view,2024-07-17 16:05:47,Mobile,SU00003_20240717160424
E00000025,U00003,P0054,view,2024-03-25 17:33:14,Desktop,SU00003_20240325173058
E00000026,U00003,P0175,view,2024-08-01 09:37:04,Mobile,SU00003_20240801093628
E00000027,U00003,P0044,view,2024-09-04 19:08:07,Mobile,SU00003_20240904190334
E00000028,U00004,P0042,view,2024-02-20 07:36:47,Desktop,SU00004_20240220073251
E00000029,U00004,P0164,view,2024-12-24 00:13:18,Desktop,SU00004_20241224000833
E00000030,U00004,P0164,add_to_cart,2024-12-24 00:11:19,Mobile,SU00004_20241224000833
E00000031,U00004,P0199,view,2024-10-27 08:24:17,Mobile,SU00004_20241027082349
E00000032,U00004,P0199,add_to_cart,2024-10-27 08:24:05,Desktop,SU00004_20241027082349
E00000033,U00004,P0103,view,2024-10-08 09:14:47,Desktop,SU00004_20241008091230
E00000034,U00004,P0103,add_to_cart,2024-10-08 09:17:20,Tablet,SU00004_20241008091230
E00000035,U00004,P0081,view,2024-12-10 22:39:40,Mobile,SU00004_20241210223752
E00000036,U00004,P0102,view,2024-05-05 16:32:45,Desktop,SU00004_20240505162851
E00000037,U00004,P0102,add_to_cart,2024-05-05 16:30:02,Desktop,SU00004_20240505162851
E00000038,U00004,P0102,checkout,2024-05-05 16:33:38,Mobile,SU00004_20240505162851
E00000039,U00004,P0102,purchase,2024-05-05 16:33:50,Desktop,SU00004_20240505162851
E00000040,U00004,P0110,view,2024-09-16 13:13:53,Mobile,SU00004_20240916130855
E00000041,U00005,P0057,view,2024-05-23 15:15:38,Mobile,SU00005_20240523151428
E00000042,U00005,P0024,view,2024-06-28 03:31:17,Mobile,SU00005_20240628033053
E00000043,U00005,P0040,view,2024-11-12 21:42:54,Mobile,SU00005_20241112214133
E00000044,U00005,P0109,view,2024-03-30 12:32:49,Mobile,SU00005_20240330123217
E00000045,U00005,P0153,view,2024-06-23 14:08:45,Mobile,SU00005_20240623140446
E00000046,U00006,P0142,view,2024-10-27 15:46:13,Mobile,SU00006_20241027154608
E00000047,U00006,P0030,view,2024-05-14 19:12:28,Mobile,SU00006_20240514190754
E00000048,U00006,P0197,view,2024-04-19 06:07:19,Mobile,SU00006_20240419060425
E00000049,U00006,P0197,add_to_cart,2024-04-19 06:08:07,Desktop,SU00006_20240419060425
E00000050,U00006,P0197,checkout,2024-04-19 06:04:26,Tablet,SU00006_20240419060425
E00000051,U00006,P0185,view,2024-05-27 18:53:02,Mobile,SU00006_20240527185048
E00000052,U00006,P0196,view,2024-04-07 21:58:32,Mobile,SU00006_20240407215701
E00000053,U00007,P0028,view,2024-06-14 10:31:39,Mobile,SU00007_20240614102907
E00000054,U00007,P0130,view,2024-11-09 06:16:37,Desktop,SU00007_20241109061456
E00000055,U00007,P0130,add_to_cart,2024-11-09 06:16:18,Desktop,SU00007_20241109061456
E00000056,U00007,P0130,checkout,2024-11-09 06:19:27,Mobile,SU00007_20241109061456
E00000057,U00007,P0154,view,2024-04-09 01:01:12,Mobile,SU00007_20240409005827
E00000058,U00007,P0029,view,2024-11-17 20:38:50,Desktop,SU00007_20241117203545
E00000059,U00008,P0079,view,2024-09-05 18:58:02,Mobile,SU00008_20240905185600
E00000060,U00008,P0079,add_to_cart,2024-09-05 19:00:50,Mobile,SU00008_20240905185600
E00000061,U00008,P0022,view,2024-11-30 19:40:03,Mobile,SU00008_20241130193555
E00000062,U00008,P0195,view,2024-09-02 08:29:34,Mobile,SU00008_20240902082502
E00000063,U00009,P0033,view,2024-05-13 06:12:14,Desktop,SU00009_20240513060811
E00000064,U00009,P0043,view,2024-12-10 04:04:05,Mobile,SU00009_20241210040150
E00000065,U00009,P0156,view,2024-12-16 19:49:32,Mobile,SU00009_20241216194556
E00000066,U00009,P0139,view,2024-07-28 16:02:42,Mobile,SU00009_20240728160100
E00000067,U00009,P0103,view,2024-10-23 11:36:32,Mobile,SU00009_20241023113321
E00000068,U00009,P0133,view,2024-05-30 23:07:14,Mobile,SU00009_20240530230323
E00000069,U00009,P0133,add_to_cart,2024-05-30 23:05:18,Desktop,SU00009_20240530230323
E00000070,U00009,P0133,checkout,2024-05-30 23:03:33,Mobile,SU00009_20240530230323
E00000071,U00009,P0133,purchase,2024-05-30 23:05:20,Mobile,SU00009_20240530230323
E00000072,U00009,P0151,view,2024-08-31 18:37:08,Tablet,SU00009_20240831183516
E00000073,U00009,P0151,add_to_cart,2024-08-31 18:35:46,Mobile,SU00009_20240831183516
E00000074,U00009,P0151,checkout,2024-08-31 18:35:32,Mobile,SU00009_20240831183516
E00000075,U00009,P0019,view,2024-02-06 01:35:49,Mobile,SU00009_20240206013126
E00000076,U00009,P0019,add_to_cart,2024-02-06 01:35:34,Desktop,SU00009_20240206013126
E00000077,U00009,P0019,checkout,2024-02-06 01:32:33,Mobile,SU00009_20240206013126
E00000078,U00009,P0019,purchase,2024-02-06 01:36:18,Mobile,SU00009_20240206013126
E00000079,U00009,P0148,view,2024-08-24 20:59:29,Mobile,SU00009_20240824205527
E00000080,U00009,P0148,add_to_cart,2024-08-24 20:59:29,Mobile,SU00009_20240824205527
E00000081,U00009,P0049,view,2024-06-26 06:48:28,Desktop,SU00009_20240626064740
E00000082,U00009,P0049,add_to_cart,2024-06-26 06:51:20,Desktop,SU00009_20240626064740
E00000083,U00009,P0049,checkout,2024-06-26 06:51:10,Desktop,SU00009_20240626064740
E00000084,U00009,P0049,purchase,2024-06-26 06:48:07,Desktop,SU00009_20240626064740
E00000085,U00009,P0173,view,2024-05-26 14:40:24,Mobile,SU00009_20240526143934
E00000086,U00009,P0173,add_to_cart,2024-05-26 14:42:27,Mobile,SU00009_20240526143934
E00000087,U00009,P0028,view,2024-03-04 04:58:47,Mobile,SU00009_20240304045640
E00000088,U00009,P0028,add_to_cart,2024-03-04 05:01:14,Mobile,SU00009_20240304045640
E00000089,U00009,P0028,checkout,2024-03-04 05:00:16,Mobile,SU00009_20240304045640
E00000090,U00009,P0028,purchase,2024-03-04 05:00:36,Mobile,SU00009_20240304045640
E00000091,U00009,P0064,view,2024-03-20 08:51:52,Desktop,SU00009_20240320085114
E00000092,U00009,P0141,view,2024-09-21 14:16:17,Mobile,SU00009_20240921141527
E00000093,U00009,P0141,add_to_cart,2024-09-21 14:20:03,Mobile,SU00009_20240921141527
E00000094,U00010,P0024,view,2024-08-29 02:03:36,Tablet,SU00010_20240829020135
E00000095,U00010,P0024,add_to_cart,2024-08-29 02:05:43,Tablet,SU00010_20240829020135
E00000096,U00010,P0024,checkout,2024-08-29 02:05:00,Desktop,SU00010_20240829020135
E00000097,U00010,P0043,view,2024-10-09 10:10:56,Mobile,SU00010_20241009100742
E00000098,U00010,P0043,add_to_cart,2024-10-09 10:11:01,Desktop,SU00010_20241009100742
E00000099,U00010,P0043,checkout,2024-10-09 10:11:34,Tablet,SU00010_20241009100742
E00000100,U00010,P0043,purchase,2024-10-09 10:12:26,Mobile,SU00010_20241009100742
E00000101,U00010,P0170,view,2024-08-31 06:53:18,Mobile,SU00010_20240831064909
E00000102,U00010,P0170,add_to_cart,2024-08-31 06:51:40,Mobile,SU00010_20240831064909
E00000103,U00010,P0170,checkout,2024-08-31 06:49:38,Mobile,SU00010_20240831064909
E00000104,U00010,P0170,purchase,2024-08-31 06:53:46,Mobile,SU00010_20240831064909
E00000105,U00010,P0016,view,2024-02-03 07:31:00,Desktop,SU00010_20240203072820
E00000106,U00010,P0016,add_to_cart,2024-02-03 07:33:19,Mobile,SU00010_20240203072820
E00000107,U00010,P0016,checkout,2024-02-03 07:32:51,Tablet,SU00010_20240203072820
E00000108,U00010,P0016,purchase,2024-02-03 07:32:40,Mobile,SU00010_20240203072820
E00000109,U00011,P0021,view,2024-01-24 17:47:24,Tablet,SU00011_20240124174549
E00000110,U00011,P0021,add_to_cart,2024-01-24 17:46:23,Mobile,SU00011_20240124174549
E00000111,U00011,P0061,view,2024-07-07 23:37:33,Mobile,SU00011_20240707233407
E00000112,U00011,P0061,add_to_cart,2024-07-07 23:38:58,Mobile,SU00011_20240707233407
E00000113,U00011,P0061,checkout,2024-07-07 23:34:27,Mobile,SU00011_20240707233407
E00000114,U00011,P0061,purchase,2024-07-07 23:37:41,Mobile,SU00011_20240707233407
E00000115,U00011,P0169,view,2024-07-21 19:55:21,Desktop,SU00011_20240721195023
E00000116,U00011,P0081,view,2024-02-16 17:03:01,Desktop,SU00011_20240216170048
E00000117,U00011,P0081,add_to_cart,2024-02-16 17:03:28,Desktop,SU00011_20240216170048
E00000118,U00011,P0081,checkout,2024-02-16 17:04:10,Desktop,SU00011_20240216170048
E00000119,U00011,P0081,purchase,2024-02-16 17:03:21,Desktop,SU00011_20240216170048
E00000120,U00011,P0118,view,2024-09-12 07:31:52,Tablet,SU00011_20240912072911
E00000121,U00011,P0019,view,2024-01-09 19:54:50,Mobile,SU00011_20240109195446
E00000122,U00012,P0145,view,2024-03-01 21:25:51,Mobile,SU00012_20240301212500
E00000123,U00012,P0145,add_to_cart,2024-03-01 21:26:49,Tablet,SU00012_20240301212500
E00000124,U00012,P0145,checkout,2024-03-01 21:26:07,Mobile,SU00012_20240301212500
E00000125,U00012,P0018,view,2024-07-06 11:34:01,Mobile,SU00012_20240706113156
E00000126,U00012,P0041,view,2024-09-24 01:36:02,Desktop,SU00012_20240924013218
E00000127,U00012,P0181,view,2024-10-30 12:23:54,Mobile,SU00012_20241030122120
E00000128,U00012,P0168,view,2024-05-26 08:07:57,Mobile,SU00012_20240526080327
E00000129,U00012,P0168,add_to_cart,2024-05-26 08:08:10,Mobile,SU00012_20240526080327
E00000130,U00012,P0168,checkout,2024-05-26 08:04:20,Mobile,SU00012_20240526080327
E00000131,U00012,P0035,view,2024-02-08 04:47:23,Mobile,SU00012_20240208044508
E00000132,U00012,P0035,add_to_cart,2024-02-08 04:46:02,Mobile,SU00012_20240208044508
E00000133,U00012,P0040,view,2024-06-08 23:49:02,Desktop,SU00012_20240608234643
E00000134,U00012,P0040,add_to_cart,2024-06-08 23:48:30,Tablet,SU00012_20240608234643
E00000135,U00012,P0053,view,2024-01-04 10:56:57,Desktop,SU00012_20240104105442
E00000136,U00013,P0065,view,2024-08-24 15:19:36,Mobile,SU00013_20240824151910
E00000137,U00013,P0065,add_to_cart,2024-08-24 15:22:46,Mobile,SU00013_20240824151910
E00000138,U00013,P0012,view,2024-08-05 19:40:55,Mobile,SU00013_20240805194054
E00000139,U00013,P0012,add_to_cart,2024-08-05 19:42:00,Mobile,SU00013_20240805194054
E00000140,U00013,P0068,view,2024-03-07 04:22:16,Tablet,SU00013_20240307042054
E00000141,U00013,P0142,view,2024-09-22 08:31:14,Desktop,SU00013_20240922082736
E00000142,U00013,P0029,view,2024-09-12 17:42:23,Mobile,SU00013_20240912174145
E00000143,U00013,P0177,view,2024-05-20 22:58:43,Desktop,SU00013_20240520225727
E00000144,U00013,P0095,view,2024-02-17 23:11:40,Desktop,SU00013_20240217230642
E00000145,U00014,P0111,view,2024-07-29 06:40:47,Mobile,SU00014_20240729063942
E00000146,U00014,P0111,add_to_cart,2024-07-29 06:42:48,Tablet,SU00014_20240729063942
E00000147,U00014,P0011,view,2024-11-26 07:40:05,Desktop,SU00014_20241126073702
E00000148,U00014,P0011,add_to_cart,2024-11-26 07:39:09,Mobile,SU00014_20241126073702
E00000149,U00014,P0091,view,2024-08-13 19:56:33,Mobile,SU00014_20240813195147
E00000150,U00014,P0105,view,2024-11-28 03:26:12,Desktop,SU00014_20241128032453
E00000151,U00014,P0061,view,2024-10-18 05:52:09,Mobile,SU00014_20241018055046
E00000152,U00015,P0046,view,2024-09-07 15:47:13,Desktop,SU00015_20240907154342
E00000153,U00015,P0046,add_to_cart,2024-09-07 15:46:32,Tablet,SU00015_20240907154342
E00000154,U00015,P0106,view,2024-01-11 01:59:44,Mobile,SU00015_20240111015737
E00000155,U00015,P0106,add_to_cart,2024-01-11 01:58:32,Mobile,SU00015_20240111015737
E00000156,U00015,P0106,checkout,2024-01-11 01:57:56,Mobile,SU00015_20240111015737
E00000157,U00015,P0057,view,2024-07-28 00:37:02,Mobile,SU00015_20240728003520
E00000158,U00015,P0118,view,2024-11-27 11:30:39,Mobile,SU00015_20241127112740
E00000159,U00015,P0118,add_to_cart,2024-11-27 11:29:36,Mobile,SU00015_20241127112740
E00000160,U00015,P0118,checkout,2024-11-27 11:29:18,Desktop,SU00015_20241127112740
E00000161,U00015,P0118,purchase,2024-11-27 11:30:02,Mobile,SU00015_20241127112740
E00000162,U00016,P0018,view,2024-05-19 14:12:09,Mobile,SU00016_20240519140947
E00000163,U00016,P0131,view,2024-11-14 15:11:53,Mobile,SU00016_20241114150829
E00000164,U00016,P0138,view,2024-04-04 19:14:50,Mobile,SU00016_20240404191201
E00000165,U00016,P0030,view,2024-03-14 15:45:57,Desktop,SU00016_20240314154344
E00000166,U00016,P0030,add_to_cart,2024-03-14 15:45:59,Desktop,SU00016_20240314154344
E00000167,U00016,P0030,checkout,2024-03-14 15:47:26,Desktop,SU00016_20240314154344
E00000168,U00016,P0030,purchase,2024-03-14 15:46:24,Mobile,SU00016_20240314154344
E00000169,U00016,P0112,view,2024-12-26 22:36:09,Tablet,SU00016_20241226223148
E00000170,U00016,P0112,add_to_cart,2024-12-26 22:36:43,Mobile,SU00016_20241226223148
E00000171,U00016,P0112,checkout,2024-12-26 22:32:10,Mobile,SU00016_20241226223148
E00000172,U00016,P0112,purchase,2024-12-26 22:31:48,Mobile,SU00016_20241226223148
E00000173,U00016,P0134,view,2024-04-28 04:44:18,Mobile,SU00016_20240428043943
E00000174,U00017,P0190,view,2024-01-05 10:29:03,Mobile,SU00017_20240105102723
E00000175,U00017,P0018,view,2024-07-28 18:38:29,Mobile,SU00017_20240728183540
E00000176,U00017,P0170,view,2024-06-01 08:08:30,Mobile,SU00017_20240601080727
E00000177,U00017,P0077,view,2024-09-10 16:44:27,Tablet,SU00017_20240910164008
E00000178,U00017,P0077,add_to_cart,2024-09-10 16:43:37,Mobile,SU00017_20240910164008
E00000179,U00017,P0077,checkout,2024-09-10 16:42:39,Desktop,SU00017_20240910164008
E00000180,U00017,P0077,purchase,2024-09-10 16:41:46,Mobile,SU00017_20240910164008
E00000181,U00017,P0108,view,2024-04-07 09:17:04,Mobile,SU00017_20240407091350
E00000182,U00017,P0045,view,2024-04-07 16:22:44,Mobile,SU00017_20240407161753
E00000183,U00017,P0045,add_to_cart,2024-04-07 16:22:33,Mobile,SU00017_20240407161753
E00000184,U00018,P0078,view,2024-12-27 10:08:15,Mobile,SU00018_20241227100549
E00000185,U00018,P0078,add_to_cart,2024-12-27 10:10:45,Desktop,SU00018_20241227100549
E00000186,U00018,P0083,view,2024-11-11 16:57:28,Mobile,SU00018_20241111165330
E00000187,U00018,P0173,view,2024-03-01 14:24:49,Mobile,SU00018_20240301142300
E00000188,U00018,P0189,view,2024-09-23 06:40:13,Mobile,SU00018_20240923063847
E00000189,U00018,P0073,view,2024-02-21 16:29:52,Mobile,SU00018_20240221162529
E00000190,U00018,P0159,view,2024-10-20 08:28:41,Mobile,SU00018_20241020082550
E00000191,U00018,P0159,add_to_cart,2024-10-20 08:27:50,Tablet,SU00018_20241020082550
E00000192,U00019,P0058,view,2024-08-19 04:27:28,Mobile,SU00019_20240819042547
E00000193,U00019,P0058,add_to_cart,2024-08-19 04:26:10,Tablet,SU00019_20240819042547
E00000194,U00019,P0058,checkout,2024-08-19 04:29:50,Desktop,SU00019_20240819042547
E00000195,U00019,P0058,purchase,2024-08-19 04:26:24,Mobile,SU00019_20240819042547
E00000196,U00019,P0117,view,2024-09-20 23:19:55,Tablet,SU00019_20240920231623
E00000197,U00019,P0148,view,2024-06-04 00:37:49,Desktop,SU00019_20240604003610
E00000198,U00019,P0099,view,2024-07-16 10:24:39,Mobile,SU00019_20240716102026
E00000199,U00019,P0038,view,2024-02-29 09:46:00,Tablet,SU00019_20240229094558
E00000200,U00020,P0198,view,2024-11-02 05:16:21,Desktop,SU00020_20241102051527
E00000201,U00020,P0057,view,2024-03-15 23:57:23,Desktop,SU00020_20240315235553
E00000202,U00020,P0179,view,2024-09-30 02:36:40,Mobile,SU00020_20240930023215
E00000203,U00021,P0143,view,2024-09-02 02:36:14,Tablet,SU00021_20240902023407
E00000204,U00021,P0032,view,2024-10-16 07:52:42,Mobile,SU00021_20241016074849
E00000205,U00021,P0032,add_to_cart,2024-10-16 07:52:46,Mobile,SU00021_20241016074849
