order_id,user_id,product_id,quantity,order_date,status,payment_method,order_value_inr,order_month
O000001,U02357,P0167,1,2024-08-19,Delivered,Credit_Card,1980.0,2024-08
O000002,U04932,P0083,1,2024-04-18,Delivered,Debit_Card,3180.0,2024-04
O000003,U02717,P0195,1,2024-06-26,Delivered,COD,2680.0,2024-06
O000004,U00142,P0111,2,2024-09-05,Delivered,Debit_Card,2160.0,2024-09
O000005,U02434,P0115,1,2024-11-19,Cancelled,UPI,0.0,2024-11
O000006,U03561,P0113,2,2024-12-25,Delivered,Wallet,2120.0,2024-12
O000007,U00128,P0198,2,2024-01-05,Cancelled,Credit_Card,0.0,2024-01
O000008,U02067,P0197,1,2024-06-05,Delivered,COD,7150.0,2024-06
O000009,U00770,P0013,1,2024-08-17,Delivered,COD,20280.0,2024-08
O000010,U03194,P0113,2,2024-04-25,Delivered,Credit_Card,2120.0,2024-04
O000011,U04803,P0098,1,2024-09-17,Delivered,UPI,2580.0,2024-09
O000012,U03107,P0050,1,2024-11-11,Cancelled,UPI,0.0,2024-11
O000013,U03459,P0138,3,2024-11-16,Cancelled,UPI,0.0,2024-11
O000014,U01983,P0056,1,2024-05-06,Cancelled,UPI,0.0,2024-05
O000015,U02789,P0104,2,2024-01-28,Delivered,COD,940.0,2024-01
O000016,U02685,P0172,1,2024-12-04,Returned,UPI,0.0,2024-12
O000017,U03777,P0028,1,2024-08-15,Delivered,Wallet,46590.0,2024-08
O000018,U04292,P0037,1,2024-05-08,Returned,UPI,0.0,2024-05
O000019,U03290,P0036,1,2024-01-29,Delivered,Credit_Card,36310.0,2024-01
O000020,U04898,P0184,1,2024-06-27,Delivered,UPI,3730.0,2024-06
O000021,U04139,P0092,1,2024-06-12,Cancelled,UPI,0.0,2024-06
O000022,U00615,P0057,1,2024-06-08,Delivered,Credit_Card,4570.0,2024-06
O000023,U02494,P0036,4,2024-11-15,Delivered,COD,145240.0,2024-11
O000024,U04520,P0129,1,2024-10-14,Delivered,Wallet,410.0,2024-10
O000025,U04731,P0171,3,2024-09-21,Delivered,UPI,5100.0,2024-09
O000026,U01888,P0137,1,2024-10-23,Delivered,Credit_Card,870.0,2024-10
O000027,U03599,P0107,4,2024-01-25,Delivered,UPI,4680.0,2024-01
O000028,U02053,P0106,2,2024-05-24,Delivered,UPI,2440.0,2024-05
O000029,U00612,P0195,4,2024-06-23,Returned,COD,0.0,2024-06
O000030,U04422,P0115,1,2024-01-08,Delivered,UPI,520.0,2024-01
O000031,U04685,P0032,1,2024-11-09,Returned,Wallet,0.0,2024-11
O000032,U02485,P0119,1,2024-04-18,Delivered,Debit_Card,1350.0,2024-04
O000033,U00084,P0124,1,2024-05-08,Delivered,Credit_Card,500.0,2024-05
O000034,U04074,P0070,1,2024-01-02,Delivered,UPI,2290.0,2024-01
O000035,U02359,P0058,4,2024-01-10,Delivered,UPI,17520.0,2024-01
O000036,U00367,P0180,3,2024-12-12,Cancelled,Credit_Card,0.0,2024-12
O000037,U00951,P0198,3,2024-04-26,Delivered,COD,39060.0,2024-04
O000038,U00757,P0089,1,2024-11-14,Cancelled,Credit_Card,0.0,2024-11
O000039,U03412,P0028,1,2024-01-11,Delivered,COD,46590.0,2024-01
O000040,U01499,P0193,2,2024-04-05,Delivered,UPI,12780.0,2024-04
O000041,U00631,P0168,1,2024-04-02,Delivered,Wallet,1300.0,2024-04
O000042,U04602,P0148,1,2024-04-11,Cancelled,COD,0.0,2024-04
O000043,U04796,P0088,1,2024-04-07,Delivered,Credit_Card,3470.0,2024-04
O000044,U00685,P0115,1,2024-10-08,Delivered,COD,520.0,2024-10
O000045,U01143,P0138,2,2024-10-21,Delivered,Credit_Card,1640.0,2024-10
O000046,U02934,P0076,1,2024-12-13,Returned,UPI,0.0,2024-12
O000047,U00749,P0190,1,2024-06-04,Delivered,Debit_Card,4110.0,2024-06
O000048,U00782,P0037,1,2024-05-24,Delivered,Debit_Card,4850.0,2024-05
O000049,U01695,P0060,2,2024-12-29,Delivered,Debit_Card,7180.0,2024-12
O000050,U04759,P0091,1,2024-07-29,Delivered,UPI,350.0,2024-07
O000051,U04822,P0077,1,2024-06-03,Returned,UPI,0.0,2024-06
O000052,U04211,P0094,1,2024-08-29,Cancelled,Wallet,0.0,2024-08
O000053,U03462,P0115,2,2024-03-16,Cancelled,Debit_Card,0.0,2024-03
O000054,U03574,P0067,4,2024-11-18,Delivered,Credit_Card,15000.0,2024-11
O000055,U02330,P0180,1,2024-06-23,Delivered,Debit_Card,400.0,2024-06
O000056,U02614,P0163,1,2024-04-20,Delivered,COD,1170.0,2024-04
O000057,U03150,P0112,1,2024-01-18,Delivered,COD,930.0,2024-01
O000058,U03644,P0190,2,2024-10-17,Delivered,COD,8220.0,2024-10
O000059,U00474,P0140,1,2024-09-30,Delivered,Credit_Card,1430.0,2024-09
O000060,U01127,P0029,3,2024-08-25,Delivered,COD,127950.0,2024-08
O000061,U04824,P0030,3,2024-07-16,Delivered,Debit_Card,101250.0,2024-07
O000062,U01682,P0150,1,2024-06-10,Cancelled,UPI,0.0,2024-06
O000063,U01351,P0081,2,2024-07-18,Delivered,UPI,1780.0,2024-07
O000064,U02103,P0053,1,2024-08-21,Delivered,Debit_Card,4130.0,2024-08
O000065,U01455,P0022,2,2024-12-05,Delivered,COD,144580.0,2024-12
O000066,U00451,P0188,1,2024-02-12,Delivered,Credit_Card,4650.0,2024-02
O000067,U01047,P0049,1,2024-03-22,Cancelled,Debit_Card,0.0,2024-03
O000068,U03179,P0177,1,2024-01-27,Delivered,Debit_Card,1960.0,2024-01
O000069,U01120,P0135,1,2024-10-30,Delivered,Credit_Card,950.0,2024-10
O000070,U03216,P0046,1,2024-03-09,Delivered,UPI,350.0,2024-03
O000071,U00492,P0011,1,2024-07-17,Delivered,UPI,53470.0,2024-07
O000072,U00202,P0016,2,2024-08-03,Delivered,Wallet,154520.0,2024-08
O000073,U04310,P0182,1,2024-05-03,Delivered,UPI,12670.0,2024-05
O000074,U03778,P0185,2,2024-01-16,Delivered,UPI,20620.0,2024-01
O000075,U03302,P0036,1,2024-05-05,Delivered,UPI,36310.0,2024-05
O000076,U00144,P0051,1,2024-01-14,Delivered,Credit_Card,1730.0,2024-01
O000077,U01194,P0150,1,2024-02-08,Cancelled,UPI,0.0,2024-02
O000078,U04053,P0165,1,2024-07-17,Delivered,COD,360.0,2024-07
O000079,U00717,P0003,1,2024-04-17,Cancelled,UPI,0.0,2024-04
O000080,U04055,P0035,1,2024-09-24,Delivered,COD,31910.0,2024-09
O000081,U02899,P0113,1,2024-12-18,Delivered,COD,1060.0,2024-12
O000082,U03685,P0038,1,2024-11-06,Delivered,UPI,47410.0,2024-11
O000083,U03198,P0106,1,2024-02-09,Delivered,Credit_Card,1220.0,2024-02
O000084,U02078,P0055,1,2024-12-12,Delivered,UPI,2770.0,2024-12
O000085,U01460,P0169,1,2024-09-25,Delivered,UPI,850.0,2024-09
O000086,U03336,P0038,1,2024-03-09,Delivered,Credit_Card,47410.0,2024-03
O000087,U04026,P0118,2,2024-05-31,Delivered,UPI,640.0,2024-05
O000088,U00223,P0162,1,2024-07-05,Delivered,Credit_Card,310.0,2024-07
O000089,U01885,P0011,1,2024-12-17,Delivered,UPI,53470.0,2024-12
O000090,U01749,P0014,1,2024-08-28,Delivered,Credit_Card,46230.0,2024-08
O000091,U02769,P0081,1,2024-08-14,Delivered,UPI,890.0,2024-08
O000092,U00561,P0021,1,2024-07-22,Returned,UPI,0.0,2024-07
O000093,U04690,P0156,2,2024-09-23,Delivered,UPI,2060.0,2024-09
O000094,U02704,P0107,1,2024-04-27,Cancelled,Credit_Card,0.0,2024-04
O000095,U04636,P0102,1,2024-11-12,Delivered,UPI,290.0,2024-11
O000096,U04081,P0086,1,2024-10-18,Cancelled,Credit_Card,0.0,2024-10
O000097,U00968,P0060,1,2024-08-09,Delivered,UPI,3590.0,2024-08
O000098,U00651,P0034,1,2024-03-03,Delivered,Credit_Card,27760.0,2024-03
O000099,U04307,P0065,3,2024-01-05,Delivered,UPI,5970.0,2024-01
O000100,U02647,P0004,1,2024-11-29,Delivered,UPI,58480.0,2024-11
O000101,U00093,P0105,1,2024-10-18,Delivered,Wallet,280.0,2024-10
O000102,U04692,P0056,2,2024-05-24,Returned,UPI,0.0,2024-05
O000103,U02342,P0070,4,2024-05-29,Delivered,UPI,9160.0,2024-05
O000104,U01507,P0080,1,2024-06-07,Returned,Wallet,0.0,2024-06
O000105,U02538,P0010,1,2024-09-25,Delivered,Debit_Card,67100.0,2024-09
O000106,U04117,P0035,4,2024-11-14,Delivered,Credit_Card,127640.0,2024-11
O000107,U00540,P0138,1,2024-01-11,Delivered,UPI,820.0,2024-01
O000108,U01795,P0076,2,2024-03-09,Delivered,Credit_Card,1740.0,2024-03
O000109,U01599,P0191,1,2024-07-10,Delivered,Debit_Card,11340.0,2024-07
O000110,U04198,P0097,1,2024-04-11,Delivered,COD,3080.0,2024-04
O000111,U03881,P0153,3,2024-02-01,Delivered,COD,2490.0,2024-02
O000112,U02001,P0125,2,2024-07-20,Returned,UPI,0.0,2024-07
O000113,U03297,P0032,2,2024-09-22,Delivered,UPI,109680.0,2024-09
O000114,U01976,P0106,1,2024-04-17,Delivered,Credit_Card,1220.0,2024-04
O000115,U02831,P0056,2,2024-02-23,Delivered,Credit_Card,4660.0,2024-02
O000116,U04950,P0154,1,2024-12-03,Delivered,Credit_Card,910.0,2024-12
O000117,U02645,P0068,1,2024-07-08,Delivered,Wallet,4330.0,2024-07
O000118,U04937,P0155,1,2024-08-26,Cancelled,UPI,0.0,2024-08
O000119,U03718,P0090,1,2024-12-08,Delivered,COD,1270.0,2024-12
O000120,U00599,P0011,1,2024-12-03,Delivered,Credit_Card,53470.0,2024-12
O000121,U03968,P0181,1,2024-10-17,Delivered,Credit_Card,13090.0,2024-10
O000122,U00795,P0102,1,2024-11-18,Delivered,Wallet,290.0,2024-11
O000123,U02630,P0032,1,2024-11-16,Delivered,UPI,54840.0,2024-11
O000124,U03051,P0187,1,2024-09-29,Delivered,UPI,5240.0,2024-09
O000125,U04463,P0158,2,2024-02-11,Delivered,COD,1500.0,2024-02
O000126,U01060,P0137,1,2024-07-16,Cancelled,Credit_Card,0.0,2024-07
O000127,U04386,P0011,2,2024-04-30,Delivered,Credit_Card,106940.0,2024-04
O000128,U04693,P0087,2,2024-11-29,Delivered,UPI,1640.0,2024-11
O000129,U00443,P0145,1,2024-10-10,Delivered,Credit_Card,530.0,2024-10
O000130,U04427,P0096,3,2024-10-21,Cancelled,Credit_Card,0.0,2024-10
O000131,U01311,P0011,1,2024-06-30,Delivered,Credit_Card,53470.0,2024-06
O000132,U00388,P0057,1,2024-04-09,Delivered,UPI,4570.0,2024-04
O000133,U04810,P0050,1,2024-01-11,Delivered,COD,300.0,2024-01
O000134,U01955,P0073,1,2024-08-20,Delivered,Credit_Card,1000.0,2024-08
O000135,U03097,P0081,1,2024-04-26,Delivered,UPI,890.0,2024-04
O000136,U02726,P0053,1,2024-03-04,Returned,Credit_Card,0.0,2024-03
O000137,U01074,P0089,1,2024-06-24,Delivered,Credit_Card,4340.0,2024-06
O000138,U03316,P0110,1,2024-03-23,Delivered,UPI,180.0,2024-03
O000139,U00231,P0194,1,2024-01-02,Delivered,UPI,6160.0,2024-01
O000140,U01018,P0171,4,2024-10-25,Delivered,Debit_Card,6800.0,2024-10
O000141,U04734,P0039,1,2024-08-04,Delivered,UPI,51950.0,2024-08
O000142,U04780,P0042,2,2024-08-29,Delivered,Credit_Card,6580.0,2024-08
O000143,U02384,P0162,3,2024-10-23,Delivered,COD,930.0,2024-10
O000144,U00840,P0153,1,2024-02-29,Delivered,UPI,830.0,2024-02
O000145,U02102,P0078,1,2024-07-21,Delivered,COD,1110.0,2024-07
O000146,U04391,P0137,1,2024-02-09,Delivered,COD,870.0,2024-02
O000147,U00342,P0123,1,2024-11-10,Delivered,Debit_Card,1120.0,2024-11
O000148,U00633,P0140,1,2024-02-14,Delivered,Credit_Card,1430.0,2024-02
O000149,U04480,P0010,1,2024-10-24,Delivered,Credit_Card,67100.0,2024-10
O000150,U02074,P0162,1,2024-04-28,Delivered,Debit_Card,310.0,2024-04
O000151,U00406,P0076,2,2024-05-10,Delivered,COD,1740.0,2024-05
O000152,U00689,P0026,2,2024-10-06,Delivered,UPI,105900.0,2024-10
O000153,U04415,P0035,1,2024-02-19,Delivered,COD,31910.0,2024-02
O000154,U02427,P0077,1,2024-03-28,Delivered,UPI,1690.0,2024-03
O000155,U00809,P0184,2,2024-01-21,Delivered,UPI,7460.0,2024-01
O000156,U04470,P0056,1,2024-08-19,Delivered,Debit_Card,2330.0,2024-08
O000157,U04228,P0048,1,2024-02-12,Delivered,COD,220.0,2024-02
O000158,U00107,P0023,1,2024-01-23,Delivered,COD,75640.0,2024-01
O000159,U02884,P0065,1,2024-08-03,Delivered,UPI,1990.0,2024-08
O000160,U01225,P0008,1,2024-10-03,Delivered,Wallet,19710.0,2024-10
O000161,U02638,P0117,1,2024-07-12,Cancelled,Wallet,0.0,2024-07
O000162,U01395,P0141,2,2024-08-02,Delivered,Debit_Card,1000.0,2024-08
O000163,U01583,P0177,2,2024-06-27,Delivered,UPI,3920.0,2024-06
O000164,U02987,P0105,2,2024-05-22,Delivered,UPI,560.0,2024-05
O000165,U02657,P0138,1,2024-11-09,Delivered,Credit_Card,820.0,2024-11
O000166,U01976,P0131,1,2024-01-26,Delivered,Credit_Card,1020.0,2024-01
O000167,U00525,P0028,2,2024-08-05,Returned,Credit_Card,0.0,2024-08
O000168,U04846,P0027,1,2024-02-28,Delivered,UPI,13120.0,2024-02
