user_id,city,gender,age,signup_date,acquisition_channel,is_premium
U00001,Mumbai,Female,56,2024-04-12,Paid_Search,True
U00002,Bengaluru,Male,47,2024-12-14,Paid_Search,False
U00003,Mumbai,Male,22,2024-09-27,Paid_Search,False
U00004,Mumbai,Female,34,2024-04-16,Paid_Search,False
U00005,Hyderabad,Male,35,2024-03-12,Referral,True
U00006,Bengaluru,Female,38,2024-07-07,Referral,False
U00007,Bengaluru,Female,39,2024-01-21,Social_Media,False
U00008,Chennai,Female,56,2024-04-12,Social_Media,False
U00009,Bengaluru,Female,23,2024-05-01,Organic,False
U00010,Mumbai,Female,33,2024-08-02,Social_Media,False
U00011,Pune,Male,19,2024-11-26,Paid_Search,False
U00012,Bengaluru,Male,18,2024-03-28,Paid_Search,False
U00013,Bengaluru,Female,47,2024-04-09,Organic,True
U00014,Delhi,Male,54,2024-12-25,Organic,False
U00015,Mumbai,Male,40,2024-05-31,Organic,True
U00016,Delhi,Male,18,2024-05-10,Organic,False
U00017,Chennai,Female,36,2024-05-29,Organic,False
U00018,Bengaluru,Male,20,2024-11-04,Social_Media,False
U00019,Delhi,Female,19,2024-09-14,Organic,False
U00020,Delhi,Male,54,2024-12-09,Paid_Search,False
U00021,Bengaluru,Male,34,2024-10-20,Referral,False
U00022,Hyderabad,Female,45,2024-07-10,Organic,False
U00023,Mumbai,Male,35,2024-10-03,Referral,True
U00024,Delhi,Female,50,2024-06-09,Social_Media,False
U00025,Bengaluru,Female,32,2024-11-09,Paid_Search,False
U00026,Delhi,Female,39,2024-01-22,Organic,False
U00027,Mumbai,Male,58,2024-09-09,Organic,False
U00028,Pune,Female,44,2024-08-23,Paid_Search,False
U00029,Bengaluru,Female,54,2024-12-10,Organic,True
U00030,Mumbai,Female,49,2024-02-18,Organic,False
U00031,Delhi,Male,36,2024-02-28,Organic,True
U00032,Chennai,Female,45,2024-06-18,Social_Media,False
U00033,Delhi,Female,45,2024-07-06,Organic,False
U00034,Hyderabad,Female,27,2024-09-27,Social_Media,False
U00035,Chennai,Male,37,2024-07-08,Organic,False
U00036,Pune,Male,42,2024-06-23,Referral,False
U00037,Mumbai,Male,38,2024-02-20,Organic,False
U00038,Delhi,Male,31,2024-12-29,Social_Media,False
U00039,Pune,Male,39,2024-02-24,Paid_Search,True
U00040,Ahmedabad,Male,43,2024-08-31,Social_Media,False
U00041,Pune,Female,28,2024-11-15,Organic,False
U00042,Mumbai,Male,24,2024-05-10,Paid_Search,False
U00043,Bengaluru,Female,34,2024-11-02,Organic,False
U00044,Delhi,Male,35,2024-05-14,Paid_Search,False
U00045,Chennai,Male,24,2024-01-21,Organic,False
U00046,Delhi,Male,37,2024-11-24,Paid_Search,True
U00047,Delhi,Male,55,2024-06-15,Organic,True
U00048,Pune,Female,28,2024-09-30,Organic,True
U00049,Mumbai,Female,33,2024-03-29,Social_Media,False
U00050,Pune,Male,44,2024-11-11,Email,False
U00051,Mumbai,Male,28,2024-01-14,Paid_Search,False
U00052,Mumbai,Male,33,2024-08-29,Social_Media,False
U00053,Delhi,Female,40,2024-09-21,Paid_Search,False
U00054,Chennai,Female,29,2024-12-11,Paid_Search,True
U00055,Bengaluru,Male,57,2024-02-22,Organic,False
U00056,Bengaluru,Female,20,2024-12-05,Organic,False
U00057,Kolkata,Female,19,2024-04-01,Referral,False
U00058,Bengaluru,Male,55,2024-09-20,Paid_Search,False
U00059,Delhi,Male,41,2024-02-04,Social_Media,True
U00060,Delhi,Female,46,2024-07-24,Paid_Search,False
U00061,Delhi,Female,51,2024-03-21,Paid_Search,False
U00062,Hyderabad,Female,37,2024-02-19,Paid_Search,False
U00063,Mumbai,Female,35,2024-12-25,Social_Media,False
U00064,Delhi,Male,31,2024-01-02,Organic,False
U00065,Mumbai,Female,35,2024-02-23,Paid_Search,False
U00066,Hyderabad,Female,19,2024-04-15,Paid_Search,False
U00067,Bengaluru,Male,18,2024-09-16,Email,False
U00068,Delhi,Female,37,2024-11-05,Paid_Search,True
U00069,Bengaluru,Female,51,2024-07-09,Social_Media,False
U00070,Mumbai,Male,58,2024-08-05,Organic,False
U00071,Bengaluru,Male,58,2024-02-13,Organic,False
U00072,Bengaluru,Male,28,2024-06-10,Referral,False
U00073,Pune,Female,44,2024-07-20,Social_Media,False
U00074,Mumbai,Male,40,2024-09-26,Paid_Search,False
U00075,Kolkata,Female,55,2024-12-16,Paid_Search,False
U00076,Ahmedabad,Female,20,2024-10-30,Organic,False
U00077,Delhi,Male,29,2024-09-27,Social_Media,False
U00078,Bengaluru,Female,47,2024-08-02,Organic,False
U00079,Mumbai,Other,48,2024-09-08,Social_Media,False
U00080,Chennai,Male,40,2024-07-08,Paid_Search,False
U00081,Mumbai,Male,18,2024-10-22,Organic,False
U00082,Bengaluru,Female,58,2024-07-31,Referral,False
U00083,Delhi,Female,37,2024-07-26,Email,False
U00084,Pune,Male,23,2024-08-24,Organic,False
U00085,Chennai,Male,28,2024-12-03,Referral,False
U00086,Bengaluru,Male,52,2024-02-22,Social_Media,False
U00087,Hyderabad,Other,21,2024-10-06,Social_Media,False
U00088,Mumbai,Male,46,2024-08-04,Email,False
U00089,Bengaluru,Male,27,2024-09-08,Paid_Search,False
U00090,Pune,Female,46,2024-07-06,Social_Media,False
U00091,Mumbai,Male,55,2024-02-10,Referral,False
U00092,Mumbai,Female,18,2024-06-05,Paid_Search,False
U00093,Bengaluru,Male,57,2024-01-15,Paid_Search,False
U00094,Pune,Female,25,2024-10-27,Paid_Search,True
U00095,Chennai,Male,55,2024-03-05,Referral,False
U00096,Hyderabad,Female,34,2024-12-10,Social_Media,False
U00097,Chennai,Female,36,2024-11-22,Paid_Search,False
U00098,Bengaluru,Male,50,2024-01-09,Paid_Search,False
U00099,Delhi,Male,32,2024-12-09,Organic,False
U00100,Mumbai,Male,48,2024-05-08,Organic,False
U00101,Bengaluru,Male,38,2024-05-15,Paid_Search,False
U00102,Delhi,Female,20,2024-03-03,Paid_Search,False
U00103,Kolkata,Female,19,2024-05-18,Referral,False
U00104,Bengaluru,Male,52,2024-03-21,Paid_Search,False
U00105,Mumbai,Female,58,2024-06-11,Email,False
U00106,Bengaluru,Female,33,2024-10-15,Organic,True
U00107,Mumbai,Female,38,2024-09-17,Email,True
